iter	RMSE
519	0.05324686693
520	0.05322958317
521	0.05312219092
522	0.05311868528
523	0.05287820653
524	0.05270687965
525	0.0526327358
526	0.05210929371
527	0.0520676184
528	0.05191969022
529	0.0518844087
530	0.05154834813
531	0.0512655493
532	0.05098960528
533	0.05093745299
534	0.05093416915
535	0.05082879781
536	0.05072267273
537	0.05065685916
538	0.05027856263
539	0.05021163618
540	0.04968751331
541	0.04963406469
542	0.04958434356
543	0.04930928499
544	0.04915869153
545	0.0489135088
546	0.0487613711
547	0.04874027881
548	0.04833651643
549	0.04827786776
550	0.04826985402
551	0.04826725317
552	0.04825860132
553	0.04812372628
554	0.04802753427
555	0.04788242253
556	0.04769953956
557	0.04759381669
558	0.04739059433
559	0.04727788854
560	0.04719223223
561	0.04688564178
562	0.04681619803
563	0.04665804386
564	0.04647504577
565	0.04645078336
566	0.04635688336
567	0.04633214387
568	0.04623299753
569	0.04561759362
570	0.04553869929
571	0.0454796534
572	0.04543260585
573	0.04542227545
574	0.04529253139
575	0.0450211006
576	0.04486297066
577	0.04477673346
578	0.04459443008
579	0.04430739873
580	0.04423370999
581	0.04417159572
582	0.04409587346
583	0.04408832486
584	0.04397123518
585	0.04367353853
586	0.04363825492
587	0.04363679597
588	0.04307300501
589	0.04303776205
590	0.04299963311
591	0.04296744262
592	0.04292188691
593	0.04273951267
594	0.04266987785
595	0.04255126623
596	0.04249649355
597	0.04208605315
598	0.04198608372
599	0.04193214315
600	0.04135841733
601	0.04128667586
602	0.04120803737
603	0.04114171287
604	0.04110991402
605	0.04095925588
606	0.04077506941
607	0.04074223723
608	0.04066192265
609	0.04051427649
610	0.04037660015
611	0.04008810152
612	0.04007870788
613	0.03996663094
614	0.03992127419
615	0.03982574203
616	0.03976089608
617	0.03975914383
618	0.03973221673
619	0.03965896366
620	0.03955474898
621	0.03954701982
622	0.03951672746
623	0.03936561258
624	0.03922946591
625	0.03921742484
626	0.03895839058
627	0.03860196566
628	0.03859340667
629	0.03835574313
630	0.03799453507
631	0.0377926085
632	0.03777482218
633	0.03775189274
634	0.0376440508
635	0.03760273087
636	0.03749149987
637	0.03738549241
638	0.03735377742
639	0.03720117257
640	0.03701906522
641	0.036954832
642	0.03690614506
643	0.0368878477
644	0.03685099959
645	0.03681525477
646	0.03673161426
647	0.036672669
648	0.03665155374
649	0.03644389593
650	0.03639909004
651	0.03624738051
652	0.03623541008
653	0.03622416921
654	0.03620333965
655	0.03607614601
656	0.03605125135
657	0.0360411728
658	0.03595335974
659	0.03588238362
660	0.03581542681
661	0.03580782013
662	0.03578555209
663	0.03567363091
664	0.03561793004
665	0.03553961576
666	0.03547282998
667	0.03529196864
668	0.03520813621
669	0.0352038922
670	0.03508561321
671	0.03504517969
672	0.03492884177
673	0.03485621874
674	0.03484955305
675	0.03484329559
676	0.034837821
677	0.03482039462
678	0.03471450809
679	0.03471192725
680	0.03461979527
681	0.03450795051
682	0.03446158277
683	0.03437239029
684	0.03431354639
685	0.034269289
686	0.03419293118
687	0.03412573154
688	0.03402602785
689	0.03389556914
690	0.0338900015
691	0.03384267362
692	0.03379968955
693	0.03375738337
694	0.03375124408
695	0.03367516942
696	0.03358222759
697	0.03355881404
698	0.03353995669
699	0.03351962964
700	0.03334946068
701	0.03331158678
702	0.03321919292
703	0.03319898351
704	0.03316916237
705	0.03312122846
706	0.03311799819
707	0.03305040774
708	0.03297148559
709	0.03280599509
710	0.03262360763
711	0.03256315357
712	0.03243176636
713	0.03231768494
714	0.03224810588
715	0.03209707935
716	0.03201958236
717	0.0319726599
718	0.03186645213
719	0.03185306185
720	0.03184128521
721	0.03171406519
722	0.03162931083
723	0.03155581177
724	0.03155294406
725	0.03147115114
726	0.03131633303
727	0.03112880958
728	0.03111500594
729	0.03098718177
730	0.03098233941
731	0.03094495362
732	0.03088482372
733	0.03080451219
734	0.03077784221
735	0.03073083638
736	0.03071684584
737	0.0306045974
738	0.03058450673
739	0.03057841441
740	0.03053994774
741	0.03048212795
742	0.03033290904
743	0.03021193985
744	0.03020657332
745	0.03013599971
746	0.0300986086
747	0.03006342571
748	0.02990035583
749	0.02974848205
750	0.02958714182
751	0.02957750305
752	0.02943740739
753	0.02942218443
754	0.02938047292
755	0.02932593106
756	0.02929577164
757	0.02918040885
758	0.02912761881
759	0.02912545069
760	0.02912207066
761	0.02886299914
762	0.02876920611
763	0.0287551794
764	0.02867549834
765	0.0284218434
766	0.02835238441
767	0.02821116113
768	0.02819343632
769	0.02815442308
770	0.02815108369
771	0.0281037885
772	0.02809586119
773	0.02801641945
774	0.02798232392
775	0.027964186
776	0.02796300292
777	0.02791200023
778	0.0278034445
779	0.02774544113
780	0.02774422565
781	0.02771851747
782	0.02763106486
783	0.02758019664
784	0.02750756327
785	0.027485105
786	0.02740167307
787	0.02737681752
788	0.02719092787
789	0.02715595635
790	0.0271422368
791	0.02711320618
792	0.0270797725
793	0.02706304651
794	0.02703780287
795	0.02702431466
796	0.02699735663
797	0.02698160533
798	0.02697315943
799	0.02693676093
800	0.02691873859
801	0.02686737153
802	0.02684282502
803	0.02678643956
804	0.02676852292
805	0.02676198125
806	0.02667017772
807	0.02661568648
808	0.02656830962
809	0.02656637856
810	0.02644356662
811	0.02636242279
812	0.02624824822
813	0.0260888003
814	0.02604488939
815	0.02601518997
816	0.02591620055
817	0.02590080423
818	0.02586987702
