,fc_code,to_city,to_state,to_latitude,to_longitude
212,SAV3,Macon,GA,32.720429499999995,-83.72553901939048
213,SBD1,Bloomington,CA,34.081013532967305,-117.38339681539914
214,SBD2,San Bernardino,CA,34.07337005,-117.28230162933434
215,SBD3,San Bernardino,CA,34.310860701597875,-117.47715787158182
216,SCK1,Stockton,CA,37.914154800000006,-121.19755918794591
217,SCK3,Manteca,CA,46.68899990653848,-119.9214345680224
218,SCK4,Stockton,CA,46.760600791822135,-118.30537108125802
219,SCK8,Oakley,CA,38.0123040162902,-121.74704690755124
220,SDF1,Campbellsville,KY,37.3264605,-85.3527195
221,SDF4,Shepherdesville,KY,37.97958,-85.68444
222,SDF8,Jeffersonville,IN,38.3787641,-85.68678860970081
223,SJC7,Tracy,CA,37.72461255534798,-121.53130340818716
224,SLC1,Salt Lake City,UT,40.7859886,-112.02906777499672
225,SLC2,West Jordan,UT,40.570712,-112.060695
226,SLC3,Salt Lake City,UT,40.7745813,-112.03759104387449
227,SMF1,Sacramento,CA,38.67925645151088,-121.57283568244628
228,SMF3,Stockton,CA,37.91454215,-121.25225770243928
229,SMF6,Sacramento,CA,38.70694685,-121.57281604873684
230,SMF7,Vacaville,CA,38.4144041,-121.94911390154968
231,SNA4,Rialto,CA,34.12841087755102,-117.42259173469388
232,STL3,Republic,MO,37.16429765,-93.42669441751832
233,STL4,Edwardsville,IL,38.77187085,-90.04064684767636
234,STL6,Edwardsville,IL,38.78414295,-90.07705048840168
235,STL8,Saint Peters,MO,38.8090255,-90.57173361439048
236,SWF1,Rock Tavern,NY,41.5188891,-74.1323013
237,SWF2,Hopewell Junction,NY,42.0506077,-71.60176882491467
238,TCY1,Stockton,CA,37.9044386,-121.2485563
239,TEB3,Logan Township,NJ,39.708322395416346,-75.31767798495581
240,TEB4,Penns Grove,NJ,39.68846844794761,-75.43948142759169
241,TEB6,Cranbury,NJ,40.2831133,-74.5094908
242,TEB9,Somerset,NJ,42.40610715317342,-71.14548263783863
243,TMB8,Homestead,FL,25.523886049493,-80.40445439136037
244,TPA1,Ruskin,FL,27.7265395,-82.38787025473255
245,TPA2,Lakeland,FL,28.02003115,-82.05383755298797
246,TPA3,Auburndale,FL,28.150339760416667,-81.81942488541667
247,TPA6,Ocala,FL,29.2238915,-82.17701565
248,TTN2,Cranbury,NJ,40.31561555747519,-74.50240651237856
249,TUL2,Tulsa,OK,36.1629443,-95.8377441
250,TUS2,Tucson,AZ,32.12993585,-110.83864829991144
251,TYC1,Stockton,CA,37.903788,-121.233411
252,VGT2,Las Vegas,NV,36.2562788,-115.032104099113
253,VUAT,Union City,GA,33.569820064492994,-84.53941739703764
254,WBW2,Olyphant,PA,40.8806239198167,-74.59423828433978
255,XHH3,Port Wentworth,GA,32.171229172491074,-81.1882239193635
256,XLA4,Santa Fe Springs,CA,33.9480787,-118.0691499
257,XLG1,Redlands,CA,34.0866807,-117.2270008
258,XLX1,Hagerstown,MD,39.63696381345098,-77.74675100031378
259,XLX3,Santa Clarita,CA,34.36774727641988,-118.51777158889348
260,XLX6,Pineville,NC,35.1026034,-80.91433469918776
261,XLX7,Victorville,CA,34.49867140395661,-117.37506356474084
262,XRI3,Richmond,VA,34.111259,-83.336277
